中药材	中药材
别名	盘花地不容
中药名	红粉
别名	红升丹
别名	升药
别名	灵药
别名	三白丹
别名	三仙散
别名	升丹
别名	三仙丹
中药名	翼首草
别名	棒子头
别名	狮子草
别名	榜孜多乌(藏药)
中药名	铁皮石斛
别名	耳环石斛
别名	风斗
别名	枫斗
别名	黑节
中药名	三棵针
别名	铜针刺
中药名	橘核
别名	橘子仁
别名	橘子核
别名	橘米
别名	橘仁
中药名	白首乌
别名	隔山消
别名	白何首乌
别名	隔山撬
别名	白木香
别名	白何乌
中药名	柴胡
别名	红柴胡
别名	南柴胡
别名	地熏
别名	茈胡
别名	山菜
别名	茹草
别名	柴草
中药名	猫爪草
别名	三散草
别名	黄花草
别名	猫爪儿草
中药名	莲房
别名	莲蓬壳
别名	莲壳
别名	莲蓬
中药名	穿破石
别名	地棉根
别名	川破石 
别名	黄蛇
别名	铁篱根
别名	九层皮
别名	柘根
别名	山黄箕
中药名	九龙藤
别名	过岗龙
别名	龙须藤
别名	细叶花心藤
别名	田螺虎树
别名	九龙根
别名	燕子尾
别名	飞扬藤
别名	子燕藤
别名	黄开口
中药名	八角枫
别名	白金条
别名	白龙须
别名	八角梧桐
别名	华瓜木
别名	白筋条
中药名	三棱
别名	京三棱
别名	黑三棱
别名	荆三棱
别名	红蒲根
别名	光三棱
中药名	土木香
别名	青木香
别名	祁木香
别名	藏木香
中药名	北豆根
别名	磨石豆根
别名	山花子根
别名	蝙蝠葛根
别名	马串铃
别名	山豆根
别名	苦豆根
别名	北山豆根
别名	野豆根
别名	黄条香
中药名	西洋参
别名	花旗参
别名	洋参
别名	西洋人参
别名	西参
中药名	金银花
别名	忍冬花
别名	双花
别名	二花
别名	银花
别名	鹭鸶花
别名	金花
别名	双苞花
别名	金藤花
中药名	狗肾
别名	狗鞭
别名	黄狗肾
别名	广狗肾
中药名	三七
别名	田七
别名	参三七
别名	盘龙七
别名	金不换
别名	血参
别名	山漆
中药名	干姜
别名	干生姜
别名	白姜
别名	均姜
中药名	白头翁
别名	老翁须
别名	白头公
别名	白头翁草
别名	野丈人
别名	胡王使者
中药名	土党参
别名	土羊乳
别名	野党参
别名	土人参
别名	奶参
别名	白洋参
别名	对月参
别名	川人参
别名	奶浆根
中药名	玄参
别名	元参
别名	北玄参
别名	黑参
别名	山当归
别名	重台
别名	玄台
别名	逐马
中药名	鸡蛋花
别名	擂捶花
别名	大季花
别名	蛋黄花
别名	蕃花仔
别名	缅栀子
别名	番缅花
中药名	大黄
别名	将军
别名	南大黄
别名	牛舌大黄
中药名	千日红
别名	千年红
别名	吕宋菊
别名	球形鸡冠花
别名	百日红
别名	千金红
别名	百日白
别名	沸水菊
别名	千日娇
别名	滚水花
中药名	夏天无
别名	一粒金丹
别名	洞里神仙
别名	飞来牡丹
别名	土元胡
别名	野延胡
别名	伏地延胡索
别名	无柄紫堇
别名	落水珠
中药名	岩参
别名	岩生
中药名	白石花
别名	石花
别名	石衣
别名	蛤蟆皮
中药名	寄生黄
别名	鹿仙草
别名	见根生
别名	地杨梅
别名	土里开花
别名	鹿心草
别名	红菌
别名	牛奶菌
别名	鸡心七
别名	文王一支笔
别名	接木怀胎
别名	观音莲
别名	黄药子
别名	借母怀胎
别名	九子不离母
别名	葛菌
中药名	透骨香
别名	透骨草
别名	满山香
别名	搜山虎
别名	煤炭子
别名	煤炭果
别名	万里香
别名	九里香
别名	芳香草
别名	满天香
别名	透骨消
别名	小透骨草
中药名	冬葵子
别名	葵子
别名	葵菜子
中药名	紫草茸
别名	赤胶
别名	紫矿
别名	紫梗
别名	紫胶
别名	虫胶
中药名	峨参
别名	土白芷
别名	广三七
别名	胡萝卜七
别名	南田七
别名	水田七
中药名	灵香草
别名	香草
别名	零陵香
别名	蒙州零陵香
别名	排草
别名	零陵香
别名	薰衣草
别名	广零陵香
别名	熏草
中药名	臭灵丹草
别名	狮子草
别名	臭叶子
别名	山林丹
中药名	两头尖
别名	竹节香附
别名	草乌喙
